type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-MN,Brainerd,MN17,MN17,"46.27220154, -94.23940277",MN17,Jackson Field,1225
small_airport,NA,US,US-MN,Brainerd,MN18,MN18,"46.178199768066406, -94.0886001586914",MN18,Barrett Airport,1275
small_airport,NA,US,US-MN,Delano,MN19,MN19,"45.047298431396484, -93.8364028930664",MN19,Brandt Airport,930
small_airport,NA,US,US-MN,Cedar Mills,MN20,MN20,"44.910499572753906, -94.57140350341797",MN20,Runke's Field,1100
seaplane_base,NA,US,US-MN,Chanhassen Village,MN21,MN21,"44.83330154418945, -93.53359985351562",MN21,Rileys Landing Seaplane Base,860
small_airport,NA,US,US-MN,Circle Pines,MN24,MN24,"45.150001525878906, -93.11689758300781",MN24,Surfside Airport,890
heliport,NA,US,US-MN,Mahnomen,MN25,MN25,"47.3119010925293, -95.9738998413086",MN25,Mahnomen County & Village Hospital Heliport,1234
heliport,NA,US,US-MN,Wadena,MN26,MN26,"46.44660186767578, -95.13310241699219",MN26,Tri-County Heliport,1350
heliport,NA,US,US-MN,Edina,MN27,MN27,"44.887001037597656, -93.32659912109375",MN27,Fairview Southdale Hospital Heliport,867
small_airport,NA,US,US-MN,Cosmos,MN28,MN28,"44.983001708984375, -94.74810028076172",MN28,Lux Strip,1120
seaplane_base,NA,US,US-MN,Maple Grove,MN30,MN30,"45.09410095214844, -93.46520233154297",MN30,Busch's Fish Lake Seaplane Base,870
small_airport,NA,US,US-MN,Litchfield,MN31,MN31,"45.062198638916016, -94.5792007446289",MN31,L & M Aerodrome,1205
small_airport,NA,US,US-MN,Oronoco,MN32,MN32,"44.19139862060547, -92.45269775390625",MN32,Nietz Airstrip,1130
heliport,NA,US,US-MN,Duluth,MN33,MN33,"46.793800354003906, -92.0978012084961",MN33,St Mary's Hospital Heliport,860
heliport,NA,US,US-MN,Austin,MN34,MN34,"43.675201416015625, -92.97709655761719",MN34,St Olaf Hospital Heliport,1202
seaplane_base,NA,US,US-MN,Duluth,MN35,MN35,"46.899898529052734, -92.16210174560547",MN35,Wild Rice Lake Seaplane Base,1380
heliport,NA,US,US-MN,Rice,MN36,MN36,"45.68619918823242, -94.19999694824219",MN36,Mosquito Heliport,1000
small_airport,NA,US,US-MN,East Grand Forks,MN38,MN38,"47.92499923706055, -96.98370361328125",MN38,Spud Field,840
heliport,NA,US,US-MN,Winona,MN39,MN39,"44.033853, -91.623305",MN39,Winona Health Services Heliport,666
small_airport,NA,US,US-MN,Elk River,MN40,MN40,"45.36249923706055, -93.5886001586914",MN40,Meadowvale Airport,950
small_airport,NA,US,US-MN,Silver Lake,MN41,MN41,"44.973428, -94.214186",MN41,Timmers Landing Field,1070
small_airport,NA,US,US-MN,Erskine,MN42,MN42,"47.658599853515625, -95.94609832763672",MN42,Oak Lake Air Strip,1204
heliport,NA,US,US-MN,Mora,MN43,MN43,"45.8744010925293, -93.28990173339844",MN43,Kanabec Hospital Heliport,1005
small_airport,NA,US,US-MN,Garfield,MN44,MN44,"45.9364013671875, -95.52619934082031",MN44,Angen Field,1450
small_airport,NA,US,US-MN,Farmington,MN45,MN45,"44.56610107421875, -93.1322021484375",MN45,Jennrich Field,951
small_airport,NA,US,US-MN,Princeton,MN47,MN47,"45.54970169, -93.46980286",MN47,Cameron's Airport,930
heliport,NA,US,US-MN,Duluth,MN48,MN48,"46.797401428222656, -92.08599853515625",MN48,St Luke Hospital Heliport,680
small_airport,NA,US,US-MN,Montgomery,MN49,MN49,"44.42390060424805, -93.4843978881836",MN49,Tuma Private Airport,1100
small_airport,NA,US,US-MN,Gatzke,MN50,MN50,"48.370201110839844, -95.80690002441406",MN50,Arthur Field,1150
small_airport,NA,US,US-MN,Stacy,MN51,MN51,"45.4536018371582, -92.97470092773438",MN51,Bowers Airport,909
small_airport,NA,US,US-MN,Hibbing,MN52,MN52,"47.22909927, -93.09210205",MN52,Gospel Ranch Airport,1360
seaplane_base,NA,US,US-MN,Grand Marais,MN54,MN54,"48.09159851074219, -90.7083969116211",MN54,Gunflint Seaplane Base,1543
small_airport,NA,US,US-MN,Hastings,MN55,MN55,"44.7052001953125, -92.81189727783203",MN55,Sandy Flats Airport,835
heliport,NA,US,US-MN,Rochester,MN56,MN56,"44.0182991027832, -92.45179748535156",MN56,Charlton Building Heliport,1086
small_airport,NA,US,US-MN,Hinckley,MN57,MN57,"46.036072, -92.988253",MN57,Bush Field,1050
small_airport,NA,US,US-MN,Hastings,MN58,MN58,"44.69770050048828, -92.86409759521484",MN58,Sky Meadow Airport,820
heliport,NA,US,US-MN,Faribault,MN59,MN59,"44.289398193359375, -93.25800323486328",MN59,District One Hospital Heliport,1065
small_airport,NA,US,US-MN,Hutchinson,MN62,MN62,"44.849998474121094, -94.35030364990234",MN62,Quast Airport,1050
small_airport,NA,US,US-MN,Jordan,MN63,MN63,"44.68330001831055, -93.63690185546875",MN63,Stocker Private Airport,855
heliport,NA,US,US-MN,Litchfield,MN65,MN65,"45.11940002441406, -94.52940368652344",MN65,Meeker County Memorial Hospital Heliport,1135
small_airport,NA,US,US-MN,Loretto,MN66,MN66,"45.0630989074707, -93.65229797363281",MN66,Ingleside Airport,1021
small_airport,NA,US,US-MN,Lydia,MN67,MN67,"44.6596984863, -93.51830291750001",MN67,Sky Park Airport,940
small_airport,NA,US,US-MN,Maple Plain,MN69,MN69,"45.00270080566406, -93.6718978881836",MN69,Maple Airport,1026
heliport,NA,US,US-MN,Springfield,MN70,MN70,"44.24660110473633, -94.9717025756836",MN70,Springfield Medical Center-Mayo Health System Heliport,1075
seaplane_base,NA,US,US-MN,Marcell,MN73,MN73,"47.64720153808594, -93.74500274658203",MN73,Snell's Seaplane Base,1351
small_airport,NA,US,US-MN,Minnesota Lake,MN74,MN74,"43.830501556399994, -93.84049987790002",MN74,B & D Flyers International Airport,1055
seaplane_base,NA,US,US-MN,Mcgregor,MN75,MN75,"46.7582016, -93.28230286",MN75,Krezowski Seaplane Base,1214
seaplane_base,NA,US,US-MN,Prior Lake,MN76,MN76,"44.699962616, -93.47189331050001",MN76,Marty's Tranquility Base,911
small_airport,NA,US,US-MN,Moorhead,MN77,MN77,"46.92359924316406, -96.7155990600586",MN77,Jerger's Field,900
small_airport,NA,US,US-MN,Becker,MN79,MN79,"45.431400299072266, -93.85769653320312",MN79,Schroeder Airport,970
seaplane_base,NA,US,US-MN,Mound,MN80,MN80,"44.914398193359375, -93.6884994506836",MN80,The Pass Seaplane Base,930
small_airport,NA,US,US-MN,East Grand Forks,MN81,MN81,"47.98889923095703, -97.03119659423828",MN81,J J and T Airport,828
heliport,NA,US,US-MN,International Falls,MN83,MN83,"48.59550094604492, -93.43180084228516",MN83,International Falls Memorial Heliport,1110
small_airport,NA,US,US-MN,Onamia,MN85,MN85,"46.03329849243164, -93.6613998413086",MN85,Swiderski Field,1250
small_airport,NA,US,US-MN,Park Rapids,MN86,MN86,"47.045799255371094, -95.12249755859375",MN86,Sky Manor Aero Estates Airport,1492
small_airport,NA,US,US-MN,Ham Lake,MN87,MN87,"45.24359893798828, -93.2217025756836",MN87,Cooks Landing Airport,895
small_airport,NA,US,US-MN,Paynesville,MN88,MN88,"45.28689956665039, -94.67530059814453",MN88,Empire Valley Airport,1160
small_airport,NA,US,US-MN,Perham,MN89,MN89,"46.616600036621094, -95.65029907226562",MN89,Aerovilla Airport,1374
heliport,NA,US,US-MN,Luverne,MN90,MN90,"43.67290115356445, -96.20989990234375",MN90,Luverne Community Hospital Heliport,1427
small_airport,NA,US,US-MN,Princeton,MN91,MN91,"45.537498474121094, -93.51409912109375",MN91,Reynolds Field,985
small_airport,NA,US,US-MN,Proctor,MN92,MN92,"46.749900817871094, -92.30020141601562",MN92,Lennartson Airport,1250
heliport,NA,US,US-MN,Onamia,MN94,MN94,"46.073001861572266, -93.6624984741211",MN94,Mille Lacs Heliport,1100
small_airport,NA,US,US-MN,Rothsay,MN95,MN95,"46.51110076904297, -96.19200134277344",MN95,Velo Airstrip,1386
small_airport,NA,US,US-MN,St Francis,MN98,MN98,"45.411399841308594, -93.38469696044922",MN98,Aero-Plain Airport,931
small_airport,NA,US,US-MN,Lester Prairie,MN99,MN99,"44.91559982299805, -94.08889770507812",MN99,Serenity Airport,1050
small_airport,NA,NI,NI-RI,Tola,MNCE,ECI,"11.427542, -86.033361",MNCE,Costa Esmeralda Airport,84
small_airport,NA,NI,NI-MN,Punta Huete,MNFC,MN1A,"12.353400230407715, -86.18289947509766",MNFC,Punta Huete (Panchito) Airport,217
small_airport,NA,NI,NI-MN,Montelimar,MNMR,MN1B,"11.80519962310791, -86.51129913330078",MNMR,Montelimar Airport,94
small_airport,NA,US,US-MO,Shell Knob,MO00,MO00,"36.59170150756836, -93.66690063476562",MO00,Turkey Mountain Estates Airport,1000
small_airport,NA,US,US-MO,Strafford,MO01,MO01,"37.25, -93.10600280761719",MO01,Cuinche Airport,1475
small_airport,NA,US,US-MO,Rolla,MO02,MO02,"37.91669845581055, -91.68350219726562",MO02,Morgan Airport,1018
small_airport,NA,US,US-MO,House Springs,MO03,MO03,"38.424198150634766, -90.58290100097656",MO03,Moders Airport,465
small_airport,NA,US,US-MO,Hunnewell,MO04,MO04,"39.71670150756836, -91.8501968383789",MO04,Lyell Airport,769
heliport,NA,US,US-MO,Kansas City,MO05,MO05,"39.08420181274414, -94.57420349121094",MO05,Truman Medical Center West Heliport,983
heliport,NA,US,US-MO,Lamar,MO06,MO06,"37.50019836425781, -94.268798828125",MO06,Barton County Memorial Hospital Heliport,990
small_airport,NA,US,US-MO,Jonesburg,MO07,MO07,"38.872501373291016, -91.30020141601562",MO07,Adventures Aloft Airport,871
small_airport,NA,US,US-MO,Sedalia,MO08,MO08,"38.66279983520508, -93.33270263671875",MO08,Homan Field,885
small_airport,NA,US,US-MO,Lewistown,MO09,MO09,"40.02370071411133, -91.8738021850586",MO09,Sharpe Farms Airport,702
small_airport,NA,US,US-MO,Sturgeon,MO10,MO10,"39.20429992675781, -92.26239776611328",MO10,Hawk Air Airport,870
